"date" "nhosp" "npos" "seed"
2022-06-06 14 122 NA
2022-06-07 19 514 NA
2022-06-08 20 423 NA
2022-06-09 9 385 NA
2022-06-10 24 421 NA
2022-06-11 22 119 NA
2022-06-12 17 129 NA
2022-06-13 22 582 NA
2022-06-14 20 447 NA
2022-06-15 14 512 NA
2022-06-16 18 552 NA
2022-06-17 8 635 NA
2022-06-18 1 166 NA
2022-06-19 1 174 NA
2022-06-20 0 940 NA
2022-06-21 0 748 NA
2022-06-22 0 875 NA
2022-06-23 0 757 NA
2022-06-24 0 816 NA
2022-06-25 0 244 NA
2022-06-26 0 225 NA
2022-06-27 0 992 NA
2022-06-28 0 756 NA
2022-06-29 0 684 NA
2022-06-30 0 594 NA
2022-07-01 0 453 NA
2022-07-02 0 203 NA
2022-07-03 0 156 NA
2022-07-04 0 494 NA
2022-07-05 0 432 NA
2022-07-06 0 416 NA
2022-07-07 0 379 NA
2022-07-08 0 365 NA
2022-07-09 0 134 NA
2022-07-10 0 131 NA
2022-07-11 0 417 NA
2022-07-12 0 349 NA
2022-07-13 0 329 NA
2022-07-14 0 295 NA
2022-07-15 0 328 NA
2022-07-16 0 139 NA
2022-07-17 0 128 NA
2022-07-18 0 355 NA
2022-07-19 0 298 NA
2022-07-20 0 264 NA
2022-07-21 0 248 NA
2022-07-22 0 241 NA
2022-07-23 0 110 NA
2022-07-24 0 84 NA
2022-07-25 0 274 NA
2022-07-26 0 244 NA
2022-07-27 0 208 NA
2022-07-28 0 206 NA
2022-07-29 0 194 NA
2022-07-30 0 114 NA
2022-07-31 0 100 NA
2022-08-01 0 241 NA
2022-08-02 0 203 NA
2022-08-03 0 206 NA
2022-08-04 0 159 NA
2022-08-05 0 178 NA
2022-08-06 0 62 NA
2022-08-07 0 93 NA
2022-08-08 0 218 NA
2022-08-09 0 202 NA
2022-08-10 0 197 NA
2022-08-11 0 168 NA
2022-08-12 0 167 NA
2022-08-13 0 76 NA
2022-08-14 0 79 NA
2022-08-15 0 188 NA
2022-08-16 0 138 NA
2022-08-17 0 143 NA
2022-08-18 0 137 NA
2022-08-19 0 130 NA
2022-08-20 0 50 NA
2022-08-21 0 65 NA
2022-08-22 0 145 NA
2022-08-23 0 132 NA
2022-08-24 0 127 NA
2022-08-25 0 109 NA
2022-08-26 0 110 NA
2022-08-27 0 55 NA
2022-08-28 0 64 NA
2022-08-29 0 140 NA
2022-08-30 0 94 NA
2022-08-31 0 125 NA
2022-09-01 0 109 NA
2022-09-02 0 101 NA
2022-09-03 0 39 NA
2022-09-04 0 39 NA
2022-09-05 0 120 NA
2022-09-06 0 96 NA
2022-09-07 0 80 NA
2022-09-08 0 86 NA
2022-09-09 0 81 NA
2022-09-10 0 44 NA
2022-09-11 0 38 NA
2022-09-12 0 112 NA
2022-09-13 0 99 NA
2022-09-14 0 85 NA
2022-09-15 0 76 NA
2022-09-16 0 63 NA
2022-09-17 0 37 NA
2022-09-18 0 49 NA
2022-09-19 0 65 NA
2022-09-20 0 86 NA
2022-09-21 0 70 NA
2022-09-22 0 70 NA
2022-09-23 0 66 NA
2022-09-24 0 47 NA
2022-09-25 0 40 NA
2022-09-26 0 95 NA
2022-09-27 0 79 NA
2022-09-28 0 78 NA
2022-09-29 0 85 NA
2022-09-30 0 95 NA
2022-10-01 0 28 NA
2022-10-02 0 32 NA
2022-10-03 0 91 NA
2022-10-04 0 93 NA
2022-10-05 0 72 NA
2022-10-06 0 86 NA
2022-10-07 0 90 NA
2022-10-08 0 38 NA
2022-10-09 0 41 NA
2022-10-10 0 110 NA
2022-10-11 0 64 NA
2022-10-12 0 76 NA
2022-10-13 0 77 NA
2022-10-14 0 82 NA
2022-10-15 0 48 NA
2022-10-16 0 42 NA
2022-10-17 0 92 NA
2022-10-18 0 93 NA
2022-10-19 0 96 NA
2022-10-20 0 78 NA
2022-10-21 0 90 NA
2022-10-22 0 39 NA
2022-10-23 0 73 NA
2022-10-24 0 128 NA
2022-10-25 0 119 NA
2022-10-26 0 118 NA
2022-10-27 0 134 NA
2022-10-28 0 128 NA
2022-10-29 0 80 NA
2022-10-30 0 73 NA
2022-10-31 0 169 NA
2022-11-01 0 153 NA
2022-11-02 0 148 NA
2022-11-03 0 137 NA
2022-11-04 0 132 NA
2022-11-05 0 69 NA
2022-11-06 0 71 NA
2022-11-07 0 187 NA
2022-11-08 0 160 NA
2022-11-09 0 150 NA
2022-11-10 0 118 NA
2022-11-11 0 96 NA
2022-11-12 0 39 NA
2022-11-13 0 36 NA
